Procesador Intel i5,i5-11va gen,Procesadores,250,procesadori511va.jpg,PROC-INTL-0511,14,2,2x2,21-02-2023,Sin Modificaciones
Procesador Intel i7,i7-10ma gen,Procesadores,300,procesadori710ma.jpg,PROC-INTL-0710,4,1,2x2,10-04-2023,Sin Modificaciones
Procesador Ryzen 3,AMD Ryzen 3 1200,Procesadores,210,procesadorryzen3.jpg,PROC-RYZN-1200,7,5,3x3,15-02-2023,10-04-2023
Procesador Ryzen 5,AMD Ryzen 5 5000,Procesadores,270,procesadorryzen5.jpg,PROC-RYZN-5000,2,3,3x3,07-04-2023,Sin Modificaciones
Tarjeta RAM Corsair,DDR4 8GB So-Dimm 3200Hz,Tarjetas RAM,90,corsair8gb.jpg,TRAM-CORS-3200,10,5,6x4,21-03-2023,28-03-2023
Tarjeta RAM Kingston,DDR4 4GB Dimm 1200Hz,Tarjetas RAM,60,kingston4gb.jpg,TRAM-KING-1200,1,2,8x6,28-04-2023,Sin Modificaciones
Tarjeta RAM Crucial,DDR4 4GB So-Dimm 2000Hz,Tarjetas RAM,67,crucial4gb.jpg,TRAM-CRUC-2000,12,4,6x4,16-03-2023,19-04-2023
Disco Duro Kingston,HDD 240gb Sata 2",Discos Duros,20,hddkingston240.jpg,DHDD-KING-0240,10,12,6x7,30-04-2023,Sin Modificaciones
Disco Solido Kingston,SDD 240gb Sata 2",Discos Solidos,30,sddkingston240.jpg,DSSD-KING-0240,20,7,6x7,29-04-2023,01-05-2023
Disco Solido Adata,SSD 500gb Sata 2",Discos Solidos,36,sddadata500gb.jpg,DSSD-ADAT-0500,3,21,6x7,06-04-2023,01-05-2023
